business_id,vendor_name,billing_address,billing_city,billing_state,billing_zip_code,balance
15,Randy Williams,6970 Reilly Landing Apt. 975,New Crystalberg,RI,66482,
15,Kenneth Morse,90620 Porter Street Suite 389,Cruzville,MD,2956,
15,William Smith,"PSC 4984, Box 6599",APO,AP,44910,
15,Shelley Wright,06932 Rios Expressway,Michelemouth,OR,87314,
15,Elizabeth Carson,16153 Melissa Creek Suite 888,West Stevenstad,MO,59923,
15,Marc Jones,611 Bryan Lights,Evelynfurt,UT,71990,
15,Philip Johnson,198 Scott Forges Suite 644,Autumnburgh,IN,46322,
15,Madison Hess,3234 Patterson Path,Wintersberg,DC,67346,
15,Lauren Lewis,18277 Jeffrey Forges Apt. 912,North Matthewfurt,LA,40906,
15,Mr. Ryan Wilson,93011 Nelson Island Apt. 423,Bakerstad,MS,11022,
15,Jeff Flores,02363 Stone Brook,East Sara,AS,74775,
15,Christopher Peters,8399 Garrett Keys,South Jesseshire,MD,78187,
15,Julia Phelps,7361 Rebecca Hollow,South Erictown,NE,29572,
15,Brandon Wells,26556 Herrera Pine Apt. 577,East Jennifer,ME,79516,
15,Cynthia Bell,53363 Kelsey Garden Suite 746,West Kimberlyberg,MN,43399,
15,Alejandra Guzman,875 Timothy Burg Apt. 009,North William,NM,13306,
15,Mr. Adam Flynn Jr.,1437 Samantha Rapid Suite 212,Port Andreamouth,MA,89754,
15,Adam Gonzalez,38386 Rose Plains,South Pamelatown,ME,23257,
15,Kimberly Mckinney,2638 Kevin Gateway,Grimesstad,MS,53962,
15,Brandon Mcknight,5897 Sandy Tunnel Apt. 698,Port Ashleyview,NJ,92850,
15,Aaron Reid,730 Tina Station Apt. 511,Annbury,MH,81121,
15,Jane Perkins,1473 Tanner Loop,North Timothymouth,FL,26230,
15,Ryan Nguyen,77057 John Drives,Davisshire,NM,71989,
15,Alec Turner,Unit 6458 Box 5181,DPO,AA,88179,
15,Lori Mendoza,75360 Joseph Center Apt. 396,East Michele,RI,43192,
15,Deborah Barnett,638 Moore Overpass,Port Melissafurt,PW,18620,
15,Anthony Sweeney,3877 Cooper Loaf,Kingland,WA,20893,
15,David Macdonald II,"PSC 2462, Box 1202",APO,AA,85125,
15,Shannon Cox,406 Griffin Alley,New Angelaborough,WA,24431,
15,Melanie Rodriguez,"PSC 2803, Box 5468",APO,AP,95829,
15,Tyrone Austin,42550 Robert Port,New Jamie,DE,87967,
15,Mrs. Shelley Miranda,2927 Soto Falls,Spencerfurt,LA,84663,
15,Aaron Kelly,139 Shelton Run,Port Connie,NJ,12476,
15,Jeffrey Baker,8485 Merritt Field Apt. 071,West Roger,WY,86319,
15,Frank Thomas,Unit 2289 Box 0796,DPO,AP,53184,
15,Jason Hernandez,6684 April Stravenue,East Cody,AR,55167,
15,Jonathan Griffin,38913 Porter Corner,Royburgh,MP,15560,
15,Robert Robinson,5824 Stephanie Forges Apt. 026,Thompsonborough,WI,54856,
15,Melissa Hall,67541 Jacob Light,Port Kaylaburgh,NH,66970,
15,Angela Collier,4305 Rodriguez Passage Apt. 678,Amberberg,MH,7209,
15,Joshua Allen,3656 Lisa Greens,Jonesfurt,IL,88607,
15,Carol Chapman,8310 Tammy Flats,Moranville,SC,97288,
15,Mrs. Samantha Davis,12256 Deborah Junctions Apt. 692,Simsview,HI,16440,
15,Lindsey Johnson,206 Brandi Hills Suite 184,Andreaport,OH,95876,
15,Candice Williams,80239 Kara Stravenue,South Elizabethhaven,VT,18422,
15,Kevin Ross,366 Morgan Way Apt. 605,Floresfurt,MS,28140,
15,Carrie Patterson,7134 Joan Ferry Suite 710,Carrilloview,VI,614,
15,Alexis Palmer,50426 Barbara Run,Josephbury,MD,16513,
15,Kevin Rojas,567 Hannah Parkway Suite 978,Taraberg,MD,19174,
15,John Davis,USS Barton,FPO,AP,37125,
15,Samantha Taylor,620 Mary Flat Suite 395,Ericport,AL,92288,
15,Alicia Grant,0894 Tammy Island,Larsonville,GU,4977,
15,Teresa Graham,Unit 5909 Box 5188,DPO,AA,2648,
15,Leslie Nelson,40325 Susan Estates,Woodsberg,PR,3002,
15,David Jones,62060 Gibson Inlet Apt. 364,Malikhaven,NV,56175,
15,Scott Parks,782 Roberts Green Suite 069,West Aaronborough,AZ,82805,
15,Chelsea Ruiz,57265 Barron Road,Gregorymouth,WY,83649,
15,Michael Holt,3986 Jessica Points Apt. 349,West Kellyview,VA,37390,
15,Thomas Gray,04318 John Ridge,New Edward,KY,10656,
15,Jennifer Jones,349 Tara Hollow,New Brittney,GA,48593,
