business_id,vendor_name,billing_address,billing_city,billing_state,billing_zip_code,balance
14,Cynthia Avery,820 Mitchell Loaf Suite 461,Martinezchester,DC,20675,
14,Gloria Hansen,32162 Robert Islands Apt. 243,Kingport,FM,32935,
14,Scott Garrett,4623 Sims Lakes Suite 254,North Sarahland,FL,69007,
14,Mrs. Tracey Meyers,8700 Barnes Rest,North Joshua,OK,62298,
14,Veronica Oconnor,28738 Lozano Villages,Lake Ryan,MT,54636,
14,Patricia Rios,9329 Riley Estates,Knightville,VI,93699,
14,Brian Jones,Unit 6397 Box 9790,DPO,AE,14596,
14,Christopher Vaughn,862 Michael Lock,North Christina,GU,6949,
14,Theodore Gregory,736 Davis Creek Suite 888,Yvetteview,MH,3200,
14,Richard Conley,883 Shelby Views Suite 452,Millermouth,NH,35526,
14,Sharon Roberts,USCGC Smith,FPO,AP,78203,
14,Andrew Fox,713 Porter Ways Apt. 891,Lake Lauraberg,NY,2151,
14,Stacey Hernandez,2609 Erik Run Apt. 430,Lake Margaretside,FL,9130,
14,Andrew Vega,16136 Robert Shore Apt. 002,Butlermouth,WI,23271,
14,Alicia Bass,86036 Barker Orchard,New Patriciafort,MS,60955,
14,Bonnie Gonzalez,"PSC 0849, Box 4530",APO,AE,98978,
14,Vanessa Holmes,USNS Tran,FPO,AA,12363,
14,Heather Sullivan,0625 Ryan Road Suite 732,Fernandezberg,IA,66705,
14,Brandon Rocha,25000 Kelley Corners,East Andrewchester,MT,25093,
14,Christopher Pennington,49806 Kevin Plain,Lake Anthony,IL,49563,
14,Donna Norman,24703 Katherine Bypass,Wadeborough,TN,69140,
14,Kevin Contreras,5612 Rubio Gardens Suite 710,Lake Sophiahaven,GU,97537,
14,Mr. Robert Rivera PhD,Unit 5129 Box 7502,DPO,AP,78432,
14,Mary Schneider,0170 Miller Throughway Apt. 950,Josephville,DE,91862,
14,Jeffrey Gutierrez,066 Phillips Well Apt. 141,Michealton,DC,16898,
14,Morgan Anthony,93661 Phelps Forge,Collierfurt,WA,95248,
14,Gerald Clark,93554 Mcdowell Canyon Apt. 189,East Colleen,SC,11239,
14,Mrs. Lisa Richards,37475 Alexandra Village,Andersonton,CA,18330,
14,Kimberly Moore,17960 Terri Brooks,Whitneystad,NY,28793,
14,Timothy Peterson,751 Chelsea Views Apt. 362,Port Patricia,MT,40087,
14,Ian Bautista,USNS Thomas,FPO,AP,65406,
14,Taylor Williamson,773 Taylor Harbor Suite 242,North Sarahville,KY,89786,
14,John Roy,58205 Wiley Junction,Hotown,MT,41838,
14,Thomas Foster,1975 Teresa Trail Suite 617,Bridgeshaven,VI,19931,
14,Donna Carter,6649 Cynthia Bridge Suite 706,Clarkland,MP,24846,
14,Maria Wood,5523 Alexandra Cliffs Apt. 296,North Lorimouth,MD,78494,
14,James Ferguson,573 Teresa Park Apt. 527,Jeremiahhaven,AK,84540,
14,Tammy Davis,32393 Kimberly Trail,Catherineview,TN,23427,
14,Sherry Green,9066 Christopher Canyon,South Daniel,WV,73292,
14,Dr. Jennifer Porter DDS,USCGC Perry,FPO,AA,88041,
14,Angela Knapp,8507 Taylor Pass Apt. 414,Hansonside,DE,66939,
14,James Baker,89005 Mccarthy Island Suite 298,Nixonfurt,FM,63620,
14,Joseph Huff,84181 Mason Ferry,Port Garrett,WV,54510,
14,Charles Snyder,5688 Lawrence Courts,Powellbury,NH,66567,
14,Tami Petty,"PSC 5906, Box 5057",APO,AA,16032,
14,Karen Jackson,957 Cathy Summit Suite 580,Jessicabury,NH,96276,
